area_type,availability,location,bhk,society,sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kaggadasapura,2,SLireap,1105,2,1,39.5
Built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1400,2,3,50.06
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1230,2,2,44
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1230,2,2,44
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1062,2,3,38
Super built-up  Area,Ready To Move,Begur Road,3,,1565,2,2,56
Super built-up  Area,19-May,Sarjapur  Road,3,Soini T,1249,3,2,44.71
Super built-up  Area,Ready To Move,Channasandra Layout,3,Aconyit,1535,3,1,55
Built-up  Area,Ready To Move,ISRO Layout,2,,1200,2,3,43
Built-up  Area,Ready To Move,Ittamadu,2,Arnts A,1200,2,0,43
Super built-up  Area,18-May,Electronic City Phase II,2,MJtroty,1116,2,2,40
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,57
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,57
Super built-up  Area,Ready To Move,Sarjapur,2,Sondaka,920,2,2,33
Built-up  Area,Ready To Move,Electronics City Phase 1,2,SNavenc,920,2,2,33
Super built-up  Area,Ready To Move,Channasandra,2,,1115,2,1,40
Super built-up  Area,Ready To Move,Kada Agrahara,2,,1115,2,1,40
Super built-up  Area,18-Jun,Mysore Road,2,Gopia O,980,2,0,35.175
Super built-up  Area,Ready To Move,Chikkalasandra,3,SLarei ,1365,2,2,49
Super built-up  Area,Ready To Move,Thirumenahalli,2,,1100,2,1,39.5
Built-up  Area,Ready To Move,EPIP Zone,2,Loe 1st,1810,2,2,65
Super built-up  Area,Ready To Move,Kaggadasapura,3,Frowsru,1615,3,3,58
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1615,3,2,58
Super built-up  Area,Ready To Move,Electronic City,2,YCnce R,1110,2,1,39.9
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,42.6
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1140,2,2,41
Super built-up  Area,Ready To Move,Varthur,2,DSingSt,1112,2,2,40
Super built-up  Area,Ready To Move,Varthur,2,DSingSt,1112,2,2,40
Super built-up  Area,Ready To Move,Byrasandra,3,ViisePa,1390,2,1,50
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,51.46
Super built-up  Area,Ready To Move,Electronic City,2,YCnce R,1110,2,1,39.95
Super built-up  Area,Ready To Move,Horamavu Agara,2,Suise S,1145,2,1,41.21
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1160,2,1,41.75
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1000,2,1,36
Super built-up  Area,Ready To Move,GM Palaya,2,Samesan,1000,2,1,36
Super built-up  Area,Ready To Move,Kumaraswami Layout,2,GancyRe,1000,2,2,36
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,,1050,2,2,37.8
Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,2,SaaceSa,1185,2,1,42.66
Built-up  Area,Ready To Move,Anandapura,2,LoLeoen,1250,2,2,45
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,51.48
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,51.48
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1500,2,3,54
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,43.2
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2,,1200,2,2,43.2
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1220,2,1,43.92
Built-up  Area,18-Mar,Ramamurthy Nagar Extension,3,SaaceSa,1350,3,2,48.6
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1565,2,2,56.34
Super built-up  Area,18-Aug,Hosakerehalli,3,Maunt M,1795,3,2,64.62
Super built-up  Area,Ready To Move,Subramanyapura,2,,958,2,1,34.49
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1215,2,1,43.75
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,42.67
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1208,2,2,43.5
Super built-up  Area,18-May,Gunjur,2,BMineis,1235,2,2,44.5
Super built-up  Area,Ready To Move,Electronic City,2,YCnce R,1110,2,1,40
Built-up  Area,Ready To Move,Nagondanahalli,2,,1207,2,2,43.5
Built-up  Area,Ready To Move,Channasandra,3,Pritehi,1340,2,2,48.33
Super built-up  Area,18-Jun,Kothannur,2,,1070,2,2,38.6
Super built-up  Area,Ready To Move,Belathur,2,,1081,2,1,39
Super built-up  Area,Ready To Move,Electronic City,2,MancyEl,970,2,1,35
Super built-up  Area,19-Oct,Carmelaram,2,,970,2,2,35
Super built-up  Area,19-Oct,Kadubeesanahalli,2,,970,2,1,35
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,51.6
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,,1330,2,1,48
Built-up  Area,Ready To Move,Sompura,3,Suiseit,1025,2,0,37
Super built-up  Area,Ready To Move,Gottigere,3,Apentir,1385,2,2,50
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Riodsri,900,2,2,32.5
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2,,1080,2,2,39
Super built-up  Area,Ready To Move,Nagadevanahalli,2,,1080,2,2,39
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1260,2,1,45.5
Super built-up  Area,Ready To Move,AECS Layout,3,,1800,3,3,65
Super built-up  Area,Ready To Move,Basavanapura,7,,1800,5,3,65
Super built-up  Area,Ready To Move,Siddapura,3,,1800,3,3,65
Super built-up  Area,Ready To Move,Munnekollal,3,,1800,3,3,65
Built-up  Area,Ready To Move,5th Block Hbr Layout,5,,3600,5,3,130
Built-up  Area,Ready To Move,Uttarahalli,2,Sencys ,1165,1,0,42.09
Built-up  Area,Ready To Move,Green View Layout,2,Makeser,1107,2,2,40
Super built-up  Area,18-May,Whitefield,3,SMuilan,1451,2,2,52.43
Super built-up  Area,18-Jan,Roopena Agrahara,3,,1300,3,2,47
Super built-up  Area,Ready To Move,Uttarahalli,3,,1300,2,1,47
Super built-up  Area,Ready To Move,Kaggadasapura,2,Jaisemi,1106,2,3,40
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1105,2,2,39.99
Super built-up  Area,Ready To Move,Alfa Garden Layout,2,,1050,2,2,38
Super built-up  Area,Ready To Move,Belathur,2,Viiniai,1050,2,1,38
Built-up  Area,Ready To Move,Babusapalaya,2,,1105,2,1,40
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1105,2,2,40
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,45
Super built-up  Area,Ready To Move,Begur Road,2,,1160,2,2,42
Super built-up  Area,Ready To Move,Electronic City,3,Itvir M,1160,2,2,42
Super built-up  Area,Ready To Move,Electronic City,3,Itvir M,1160,2,2,42
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,42
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,42
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,42
Super built-up  Area,Ready To Move,Old Madras Road,2,,1160,2,1,42
Built-up  Area,Ready To Move,R.T. Nagar,3,,1380,2,1,50
Super built-up  Area,Ready To Move,Marathahalli,3,Afncyad,1600,3,3,58
Built-up  Area,Ready To Move,KR Puram,2,,1100,2,1,39.9
Built-up  Area,Ready To Move,Jalahalli West,2,Caiseha,1020,2,1,37
Super built-up  Area,18-Mar,Hosa Road,2,Akvam P,1004,2,0,36.43
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,43
Built-up  Area,Ready To Move,Kaggadasapura,2,Frowsru,1240,2,3,45
Super built-up  Area,Ready To Move,Hennur Road,2,,1350,2,3,49
Super built-up  Area,Ready To Move,Sonnenahalli,2,DSgam S,1157,2,1,42
Super built-up  Area,Ready To Move,Electronic City,2,Elodsre,1156,2,2,42
Built-up  Area,Ready To Move,Begur Road,3,,1600,3,2,58.14
Super built-up  Area,18-Aug,4th Phase JP Nagar,2,,1070,2,2,38.9
Built-up  Area,Ready To Move,Gottigere,2,,1100,2,2,40
Built-up  Area,Ready To Move,Gottigere,2,,1100,2,2,40
Built-up  Area,Ready To Move,Kothannur,2,,1100,2,2,40
Super built-up  Area,Ready To Move,Electronic City,2,DSgmax ,1100,2,1,40
Super built-up  Area,Ready To Move,Sultan Palaya,2,HintsAp,1100,2,2,40
Built-up  Area,Ready To Move,Chikkalasandra,3,Siourpl,1375,2,1,50
Super built-up  Area,Ready To Move,Whitefield,3,JahanSa,1430,3,2,52
Super built-up  Area,Ready To Move,Whitefield,3,UKkente,1650,3,2,60
Super built-up  Area,Ready To Move,Sultan Palaya,4,RSntsAp,2200,3,3,80
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,DwntsAp,1510,2,2,55
Super built-up  Area,Ready To Move,Akshaya Vana,2,Daganva,1427,2,2,52
Super built-up  Area,18-Jul,Anjanapura,2,,1070,2,2,39
Super built-up  Area,18-Aug,5th Phase JP Nagar,2,,1070,2,2,39
Super built-up  Area,Ready To Move,Kammasandra,2,Prncy R,1015,2,2,37
Built-up  Area,Ready To Move,Ramamurthy Nagar,2,JHk 1en,960,2,2,35
Super built-up  Area,Ready To Move,Glass Factory Layout,2,SVhyaga,1152,2,1,42
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1590,3,2,58
Super built-up  Area,Ready To Move,Chikkadunnasandra,3,Krz 2 Q,1398,3,0,51
Super built-up  Area,Ready To Move,Bellandur,2,Sririth,1096,2,2,40
Super built-up  Area,Ready To Move,Kanakpura Road,2,,1005,2,1,36.68
Super built-up  Area,Ready To Move,KR Puram,2,Apntsal,1150,2,1,42
Super built-up  Area,Ready To Move,Kaggadasapura,2,AnaveEn,1150,2,3,42
Super built-up  Area,Ready To Move,Horamavu Agara,2,Maows M,1150,2,1,42
Built-up  Area,Ready To Move,Green View Layout,2,DSeme S,1150,2,1,42
Super built-up  Area,Ready To Move,Kadugodi,2,MSingco,1150,2,2,42
Built-up  Area,Ready To Move,Brookefield,2,ARnts A,1588,2,3,58
Super built-up  Area,Ready To Move,Whitefield,2,Krine C,1232,2,2,45
Built-up  Area,Ready To Move,Nelamangala,2,,1095,2,0,40
Built-up  Area,Ready To Move,Nelamangala,4,V2gesre,2600,3,1,95
Super built-up  Area,Ready To Move,Kadugodi,3,InadeAr,1614,2,2,59
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1220,2,1,44.6
Built-up  Area,Ready To Move,Kengeri,2,Sravema,1230,2,2,45
Super built-up  Area,Ready To Move,Harappanahalli,2,,1311,2,2,48
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,996,2,2,36.5
Super built-up  Area,Ready To Move,Horamavu Agara,3,Honcyju,1364,2,3,50
Built-up  Area,Ready To Move,Bommanahalli,2,Alarke ,1091,2,1,40
Built-up  Area,Ready To Move,Doddabidrakallu,2,Lants A,900,2,1,33
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1200,3,2,44
Super built-up  Area,Ready To Move,Uttarahalli,2,,1200,2,2,44
Super built-up  Area,17-Feb,Sarjapur  Road,3,MJinele,1200,2,2,44
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1500,2,3,55
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,Yaenti ,1500,2,3,55
Super built-up  Area,Ready To Move,MS Pallya,4,,2400,4,1,88
Super built-up  Area,Ready To Move,HSR Layout,3,SrisePo,2400,3,3,88
Built-up  Area,Ready To Move,Thanisandra,6,,2999.97,6,0,110
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,43.5
Super built-up  Area,17-Aug,Babusapalaya,2,ARngsd ,1061,2,1,38.95
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,43.51
Super built-up  Area,Ready To Move,Bommasandra,2,TCncyn ,1089,2,1,40
Super built-up  Area,Ready To Move,Hoodi,2,Siiewag,1225,2,1,45
Built-up  Area,Ready To Move,Ananth Nagar,3,VmlleRo,1470,3,2,54
Super built-up  Area,Ready To Move,Sarjapur  Road,2,DSlesSp,1034,2,1,38
Super built-up  Area,18-Dec,Electronic City,3,S2oveat,1225,3,0,45.03
Built-up  Area,Ready To Move,Chikkalasandra,2,SurtsCo,1224,2,2,45
Super built-up  Area,Ready To Move,Nagarbhavi,3,DSesthr,1523,2,2,56
Super built-up  Area,18-Jul,Ramagondanahalli,2,ViistLa,1251,2,1,46
Super built-up  Area,Ready To Move,Addischetan Layout,3,Malyxer,1495,3,2,55
Super built-up  Area,18-Oct,Electronic City Phase II,2,SRhtsa ,888,2,0,32.67
Super built-up  Area,19-Dec,Sarjapur  Road,3,Daivon ,1403,3,3,51.63
Super built-up  Area,19-Dec,Sarjapur  Road,3,Daivon ,1403,3,3,51.63
Super built-up  Area,Ready To Move,Anandapura,3,ViensRK,1576,3,2,58
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3,Sholaya,1358,3,3,50
Super built-up  Area,Ready To Move,Gunjur,2,Puide P,1195,2,2,44
Super built-up  Area,Ready To Move,Arekere,2,Amngsag,1222,2,2,45
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1265,2,2,46.6
Super built-up  Area,Ready To Move,Bellandur,2,Sririth,950,2,2,35
Built-up  Area,Ready To Move,Sarjapur,2,Sondaka,950,2,2,35
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1140,2,2,42
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1140,2,1,42
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,,1330,2,1,49
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,43.66
Super built-up  Area,Ready To Move,Varthur,2,Maine J,977,2,2,36
Super built-up  Area,18-Aug,Vimanapura,2,,1275,2,2,47
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,DencyRe,1125,2,1,41.5
Plot  Area,Ready To Move,Lakkasandra,9,,4500,9,,166
Super built-up  Area,Ready To Move,Battarahalli,2,,1165,2,1,43
Super built-up  Area,Ready To Move,Electronic City,2,PrwarSa,921,2,1,34
Super built-up  Area,18-Jul,Ramagondanahalli,2,ViistLa,1151,2,2,42.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3,Madgeer,1435,3,3,53
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,41
Super built-up  Area,18-Mar,Bommasandra,2,SSestth,955,2,1,35.28
Super built-up  Area,Ready To Move,Kanakpura Road,3,,1450,3,3,53.6
Super built-up  Area,Ready To Move,Hulimavu,3,,1758,3,2,65
Super built-up  Area,Ready To Move,Electronic City,2,Itvir M,919,2,2,34
Super built-up  Area,19-Dec,Electronic City Phase II,2,Coomee ,1056,2,1,39.07
Super built-up  Area,19-Dec,Electronic City Phase II,2,Coomee ,1056,2,1,39.07
Super built-up  Area,Ready To Move,Electronic City,2,SraveSL,1096,2,2,40.55
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,42.92
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44.4
Super built-up  Area,Ready To Move,Kudlu Gate,2,,1200,2,1,44.4
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44.4
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1260,2,2,46.62
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1410,2,3,52.17
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1410,2,3,52.17
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1240,2,2,45.88
Super built-up  Area,18-Aug,Uttarahalli,3,DSera S,1845,2,1,68.27
Super built-up  Area,18-May,Electronic City Phase II,3,Coomee ,1418,3,2,52.47
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1615,3,2,59.76
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1565,2,2,57.91
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1565,2,2,57.91
Super built-up  Area,Ready To Move,Kudlu Gate,2,,1215,2,1,44.96
Super built-up  Area,Ready To Move,Gunjur,2,Akncyes,1175,2,2,43.48
Super built-up  Area,Ready To Move,KR Puram,2,Jahidva,1155,2,2,42.74
Super built-up  Area,Ready To Move,Anekal,2,Sraveks,1035,2,2,38.3
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,1,46
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,1,46
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Super built-up  Area,Ready To Move,RMV Extension,3,Reion M,1675,3,3,62
Super built-up  Area,Ready To Move,NRI Layout,3,,1731,3,3,64.11
Super built-up  Area,Ready To Move,Hoskote,2,Deiveer,945,2,1,35
Super built-up  Area,Ready To Move,Kudlu Gate,2,,1215,2,1,45
Plot  Area,Ready To Move,Hebbal,4,,2700,2,2,100
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ascid P,944,2,1,35
Plot  Area,Ready To Move,Kirloskar Layout,4,,2400,4,2,89
Super built-up  Area,18-Aug,Banjara Layout,3,,1294,2,2,48
Super built-up  Area,18-Apr,Gaurava Nagar,3,,1240,2,2,46
Super built-up  Area,Ready To Move,Kaggadasapura,2,Binorn ,1132,2,2,42
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,970,2,1,36
Built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1374,3,2,51
Built-up  Area,Ready To Move,HSR Layout,3,,2424,3,2,90
Built-up  Area,Ready To Move,Chandapura,4,MRowsea,1782,,,66.165
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,44
Super built-up  Area,18-Jul,9th Phase JP Nagar,2,,1050,2,2,39
Built-up  Area,Ready To Move,Electronic City,3,KBityo ,1050,2,1,39
Super built-up  Area,Ready To Move,Begur Road,3,,1615,3,2,60
Super built-up  Area,Ready To Move,Old Madras Road,2,JJr 2e ,1211,2,3,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,,1210,2,2,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,i1rtsCo,1630,3,2,60.65
Super built-up  Area,Ready To Move,Uttarahalli,2,,1075,2,1,40
Built-up  Area,Ready To Move,Vibuthipura,4,,2150,4,1,80
Super built-up  Area,Ready To Move,Chikkadunnasandra,3,Kr 10Ca,1397,2,,52
Super built-up  Area,Ready To Move,Kammasandra,2,Saineiv,940,2,2,35
Super built-up  Area,Ready To Move,Bellandur,2,,1262,2,2,47
Super built-up  Area,Ready To Move,Anandapura,3,ViensRK,1576,3,2,58.7
Built-up  Area,Ready To Move,Doddathoguru,3,Srtasno,1208,3,1,45
Super built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208,3,1,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,2,57
Super built-up  Area,Ready To Move,Banashankari Stage V,3,,1315,2,2,49
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1151,2,1,42.9
Super built-up  Area,Ready To Move,Electronic City,2,Music C,1100,2,1,41
Super built-up  Area,Ready To Move,Vidyaranyapura,2,DSestil,1100,2,1,41
Built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44.73
Super built-up  Area,18-Jun,Ramagondanahalli,3,ViistLa,1475,2,2,55
Super built-up  Area,Ready To Move,Mahadevpura,2,3Codeli,1475,2,2,55
Super built-up  Area,Ready To Move,Hennur Road,2,AdestAs,1153,2,1,43
Super built-up  Area,Ready To Move,Sadaramangala,2,Maletr ,1394,2,3,52
Super built-up  Area,Ready To Move,Seegehalli,3,,1150,2,2,42.9
Super built-up  Area,18-Jun,Ramagondanahalli,3,ViistLa,1635,3,1,61
Super built-up  Area,18-May,Whitefield,2,SMuilan,1130,2,1,42.16
Super built-up  Area,Ready To Move,Uttarahalli,2,,938,2,0,35
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1452,3,3,54.2
Super built-up  Area,Ready To Move,Dodda Banaswadi,3,,1500,3,2,56
Super built-up  Area,Ready To Move,Ananth Nagar,2,Patri M,937,2,1,35
Built-up  Area,Ready To Move,Hebbal,2,Srntsha,1204,2,2,45
Super built-up  Area,Ready To Move,Seegehalli,2,,1096,2,1,41
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1100,2,1,41.15
Super built-up  Area,18-May,Whitefield,2,SMuilan,1109,2,1,41.49
Super built-up  Area,Ready To Move,VGP Layout,2,Vaurtar,1176,2,2,44
Plot  Area,Ready To Move,Chikka Tirupathi,3,,2646,3,,99
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1100,2,1,41.16
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1105,2,1,41.36
Super built-up  Area,Ready To Move,Kada Agrahara,2,,935,2,2,35
Super built-up  Area,19-Aug,Hormavu,2,,1130,2,1,42.3
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1100,2,1,41.18
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1151,2,1,43.1
Super built-up  Area,Ready To Move,Kanakpura Road,3,,1450,3,3,54.3
Super built-up  Area,18-Jul,Ramagondanahalli,2,ViistLa,1215,2,1,45.5
Super built-up  Area,19-Aug,Hormavu,2,,1196,2,1,44.8
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1141,2,1,42.75
Super built-up  Area,Ready To Move,Horamavu Agara,2,Maows M,1107.83,2,1,41.51
Super built-up  Area,Ready To Move,Horamavu Agara,2,Maows M,1107.83,2,1,41.51
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,Asorai ,1254,2,2,47
Built-up  Area,Ready To Move,HSR Layout,2,,1467,2,1,55
Super built-up  Area,19-Sep,Hormavu,3,,1553,2,2,58.23
Super built-up  Area,17-Jul,Anandapura,2,ViensRK,1151,2,1,43.16
Super built-up  Area,17-Jul,Anandapura,2,ViensRK,1167,2,1,43.76
Super built-up  Area,19-Jul,Hormavu,2,,1263,2,1,47.36
Built-up  Area,19-Mar,NR Colony,2,GKncysi,1068,2,1,40.05
Plot  Area,Ready To Move,Bommasandra Industrial Area,2,,1200,3,0,45
Super built-up  Area,Ready To Move,Chikkadunnasandra,2,Kr 10Ca,1200,2,2,45
Super built-up  Area,Ready To Move,Bellandur,2,,1200,2,3,45
Super built-up  Area,Ready To Move,Nobo Nagar,2,VRaceer,1200,2,2,45
Super built-up  Area,Ready To Move,Begur Road,2,,1200,2,2,45
Built-up  Area,Ready To Move,Akshaya Nagar,2,,1200,2,2,45
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,45
Built-up  Area,Ready To Move,Hegganahalli,1,,1200,2,1,45
Built-up  Area,Ready To Move,Devi Nagar,2,Deiten ,1200,2,2,45
Plot  Area,18-Dec,Whitefield,2,,1200,2,1,45
Plot  Area,17-Dec,Whitefield,2,,1200,2,1,45
Super built-up  Area,Ready To Move,Horamavu Agara,2,,1200,2,1,45
Plot  Area,18-Aug,Whitefield,2,,1200,2,1,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,Bhave E,1200,2,1,45
Super built-up  Area,Ready To Move,R.T. Nagar,2,,1200,2,3,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,Bhave E,1200,2,1,45
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,45
Super built-up  Area,Ready To Move,Kalena Agrahara,2,,1200,2,2,45
Plot  Area,Ready To Move,Parappana Agrahara,1,,1200,1,0,45
Plot  Area,18-Aug,Whitefield,2,,1200,2,1,45
Built-up  Area,Ready To Move,Chennappa Layout,3,Mawerer,1280,2,1,48
Super built-up  Area,Ready To Move,Kalyan nagar,2,,1280,2,1,48
Super built-up  Area,17-Jul,Anandapura,3,ViensRK,1576,3,2,59.1
Super built-up  Area,Ready To Move,Hosa Road,4,Pamesy ,1708,3,0,64.05
Built-up  Area,Ready To Move,Kothanur,3,,1840,3,1,69
Built-up  Area,Ready To Move,Vishveshwarya Layout,4,,2000,4,1,75
Built-up  Area,Ready To Move,Kadugondanahalli,5,,2000,5,,75
Super built-up  Area,Ready To Move,KR Puram,2,,2000,2,0,75
Built-up  Area,Ready To Move,Kothanur,6,,4000,6,,150
Super built-up  Area,Ready To Move,Attur Layout,7,,4000,8,1,150
Plot  Area,18-Dec,Electronic City,4,Janaala,4000,5,1,150
Super built-up  Area,17-Jul,Anandapura,2,ViensRK,1141,2,1,42.79
Super built-up  Area,Ready To Move,Sarjapur,3,Sondaka,1333,3,1,50
Super built-up  Area,Ready To Move,Gunjur,3,Paestol,2132,3,3,80
Super built-up  Area,Ready To Move,Uttarahalli,2,Sagnage,1279,2,2,48
Super built-up  Area,Ready To Move,Nagavara,3,,1545,2,1,58
Super built-up  Area,Ready To Move,Banashankari Stage V,3,,1305,2,2,49
Super built-up  Area,Ready To Move,Whitefield,2,Satanan,1118,2,1,42
Super built-up  Area,Ready To Move,Bellandur,2,,1251,2,3,47
Super built-up  Area,18-Jun,Ramagondanahalli,2,ViistLa,1251,2,1,47
Super built-up  Area,Ready To Move,Hulimavu,2,MBrrySt,1011,2,2,38
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1410,2,3,53
Built-up  Area,Ready To Move,Kaggadasapura,3,FoncyRe,1250,2,2,47
Super built-up  Area,Ready To Move,Varthur,2,,1250,2,2,47
Super built-up  Area,18-Dec,Ramamurthy Nagar,2,Vaharvi,1170,2,2,44
Super built-up  Area,Ready To Move,Ananth Nagar,2,,1010,2,2,38
Super built-up  Area,Ready To Move,Gunjur,2,DSoodSh,1063,2,2,40
Super built-up  Area,18-Mar,Whitefield,2,Pranthi,982,2,1,37
Super built-up  Area,Ready To Move,Tumkur Road,2,Mairer ,1035,2,1,39
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Shthi S,1380,2,1,52
Super built-up  Area,18-May,Electronic City Phase II,3,MJtroty,1336,2,3,50.35
